﻿name,original,category,size1,size2,url,price,discount,score,
Aladdin Plush Doll,Aladdin,Plush Dolls,Medium,18 1/4'',https://www.shopdisney.com/aladdin-plush-doll-medium-18-14-412331032153.html,$19.95 ,2 OR MORE $18 EACH,4,
Cinderella Plush Doll,Cinderella,Plush Dolls,Medium,,https://www.shopdisney.com/cinderella-plush-doll-medium-412339367141.html,$19.95 ,2 OR MORE $18 EACH,,
Disney Animators' Collection Ariel Plush Doll,The Little Mermaid,Plush Dolls,Small,13'',https://www.shopdisney.com/disney-animators-collection-ariel-plush-doll-small-13-412339743921.html,$14.95 ,2 OR MORE $12 EACH,,
Disney Animators' Collection Elsa Plush Doll,Frozen,Plush Dolls,Small,13'',https://www.shopdisney.com/disney-animators-collection-elsa-plush-doll-frozen-small-13-412330689556.html,$9.99 ,,5,
Dante Alebrije Plush Figure,Coco,Plush Dolls,,,https://www.shopdisney.com/dante-alebrije-plush-figure-coco--412315540537.html,$19.95 ,2 OR MORE $18 EACH,5,
Vampirina Plush Doll,Vampirina,Plush Dolls,,13 1/2'',https://www.shopdisney.com/vampirina-plush-doll-13-12-412304679910.html,$14.95 ,2 OR MORE $12 EACH,5,
Ariel Plush Doll,The Little Mermaid,Plush Dolls,Medium,,https://www.shopdisney.com/ariel-plush-doll-the-little-mermaid-medium-412338285644.html,$19.95 ,2 OR MORE $18 EACH,4.3,
Snow White Plush Doll,Snow White,Plush Dolls,,,https://www.shopdisney.com/snow-white-plush-doll-412338285989.html,$19.95 ,2 OR MORE $18 EACH,5,
Belle Plush Doll,Beauty and the Beast,Plush Dolls,Medium,,https://www.shopdisney.com/belle-plush-doll-beauty-and-the-beast-medium-412338285729.html,$19.95 ,2 OR MORE $18 EACH,4,
Anna Plush Doll,Frozen,Plush Dolls,Medium,,https://www.shopdisney.com/anna-plush-doll-frozen-medium-412338285491.html,$19.95 ,2 OR MORE $18 EACH,5,
Disney Animators' Collection Snow White Plush Doll,Snow White,Plush Dolls,Small,,https://www.shopdisney.com/disney-animators-collection-snow-white-plush-doll--small-412339744348.html,$14.95 ,2 OR MORE $12 EACH,5,
Aurora Plush Doll,Sleeping Beauty,Plush Dolls,Medium,19'',https://www.shopdisney.com/aurora-plush-doll-sleeping-beauty-medium-19-pink-412330293296.html,$19.95 ,2 OR MORE $18 EACH,,
Fancy Nancy Plush Doll,Fancy Nancy,Plush Dolls,Small,14'',https://www.shopdisney.com/fancy-nancy-plush-doll-small-14-412300728650.html,$16.95 ,2 OR MORE $12 EACH,1,
Disney Animators' Collection Rapunzel Plush Doll,Rapunzel,Plush Dolls,Small,12'',https://www.shopdisney.com/disney-animators-collection-rapunzel-plush-doll-small-12-412336106996.html,$14.95 ,2 OR MORE $12 EACH,,
Disney Animators' Collection Tinker Bell Plush Doll,Tinker Bell,Plush Dolls,Small,,https://www.shopdisney.com/disney-animators-collection-tinker-bell-plush-doll-small-412339744188.html,$14.95 ,2 OR MORE $12 EACH,,
Maleficent Plush Doll,Sleeping Beauty,Plush Dolls,Medium,20'',https://www.shopdisney.com/maleficent-plush-doll-sleeping-beauty-medium-20-412330292794.html,$19.95 ,2 OR MORE $18 EACH,,
Elena of Avalor Plush Doll,Elena of Avalor,Plush Dolls,Medium,,https://www.shopdisney.com/elena-of-avalor-plush-doll-medium-412339366236.html,$19.95 ,2 OR MORE $18 EACH,5,
Disney Animators' Collection Aurora Plush Doll,Sleeping Beauty,Plush Dolls,Small,,https://www.shopdisney.com/disney-animators-collection-aurora-plush-doll-small-412339744003.html,$14.95 ,2 OR MORE $12 EACH,5,
